Course,Location,Utilization Rate,Course Waitlist,Visits,Coordinates
Ultra Swim 7 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,9,"43.6580361,-79.5078221"
Ultra Swim 8 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,18,"43.6580361,-79.5078221"
Ultra Swim 6 - Small Group,Lambton-Kingsway Outdoor Pool,0.25,0,9,"43.6580361,-79.5078221"
Ultra Swim 5 - Small Group,Lambton-Kingsway Outdoor Pool,0.75,1,27,"43.6580361,-79.5078221"
Ultra Swim 2,Agincourt Recreation Centre,1,1,72,"43.7880426,-79.27506549999998"
Ultra Swim 2,Agincourt Recreation Centre,1,4,72,"43.7880426,-79.27506549999998"
Ultra Swim 9 - Small Group,Lambton-Kingsway Outdoor Pool,1,4,36,"43.6580361,-79.5078221"
Ultra Swim 8 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,36,"43.6580361,-79.5078221"
Ultra Swim 9,Ourland Park - Outdoor Pool,0.75,0,27,"43.6155335,-79.50870069999996"
Tiny Tots Swim,Ourland Park - Outdoor Pool,1,0,9,"43.6155335,-79.50870069999996"
Tiny Tots Swim,Ourland Park - Outdoor Pool,1,0,9,"43.6155335,-79.50870069999996"
Ultra Swim 1,Agincourt Recreation Centre,0.875,3,63,"43.7880426,-79.27506549999998"
Tri Private Ultra Swim 3,Agincourt Recreation Centre,1,1,27,"43.7880426,-79.27506549999998"
Tri Private Ultra Swim 3,Agincourt Recreation Centre,1,1,27,"43.7880426,-79.27506549999998"
Tri Private Ultra Swim 3,Agincourt Recreation Centre,1,0,27,"43.7880426,-79.27506549999998"
Ultra Swim 1,Agincourt Recreation Centre,0.875,0,63,"43.7880426,-79.27506549999998"
Tri Private Ultra Swim 3,Agincourt Recreation Centre,1,1,27,"43.7880426,-79.27506549999998"
Ultra Swim 1,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Ultra Swim 1,Agincourt Recreation Centre,0.875,0,63,"43.7880426,-79.27506549999998"
Ultra Swim 1,Agincourt Recreation Centre,0.875,1,63,"43.7880426,-79.27506549999998"
Ultra Swim 8,Ourland Park - Outdoor Pool,0.25,0,9,"43.6155335,-79.50870069999996"
Ultra Swim 9,Ourland Park - Outdoor Pool,0.2,0,9,"43.6155335,-79.50870069999996"
Ultra Swim 8,Ourland Park - Outdoor Pool,0.2,0,9,"43.6155335,-79.50870069999996"
Ultra Swim 7 - Small Group,Lambton-Kingsway Outdoor Pool,0.75,0,27,"43.6580361,-79.5078221"
Ultra Swim 6 - Small Group,Lambton-Kingsway Outdoor Pool,0.5,0,18,"43.6580361,-79.5078221"
Ultra Swim 4 - Small Group,Lambton-Kingsway Outdoor Pool,0.5,0,9,"43.6580361,-79.5078221"
Ultra Swim 2,Agincourt Recreation Centre,1,4,72,"43.7880426,-79.27506549999998"
Ultra Swim 2,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Ultra Swim 2,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Ultra Swim 5 - Small Group,Lambton-Kingsway Outdoor Pool,1,0,18,"43.6580361,-79.5078221"
Preschool Swim 3: Otter,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Ultra Swim 8,Agincourt Recreation Centre,1,1,90,"43.7880426,-79.27506549999998"
Ultra Swim 9,Agincourt Recreation Centre,0.6,0,54,"43.7880426,-79.27506549999998"
Preschool Swim 3: Otter,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 3: Otter,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 3: Otter,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Ultra Swim 9,Agincourt Recreation Centre,0.6,0,54,"43.7880426,-79.27506549999998"
Ultra Swim 8,Agincourt Recreation Centre,0.9,0,81,"43.7880426,-79.27506549999998"
Ultra Swim 4,Agincourt Recreation Centre,1,4,72,"43.7880426,-79.27506549999998"
Ultra Swim 4,Agincourt Recreation Centre,0.75,1,54,"43.7880426,-79.27506549999998"
Guardian Swim 2,Agincourt Recreation Centre,1,4,90,"43.7880426,-79.27506549999998"
Ultra Swim 4,Agincourt Recreation Centre,1,0,72,"43.7880426,-79.27506549999998"
Ultra Swim 4,Agincourt Recreation Centre,0.875,2,63,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,0.5,1,18,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 1: Penguin,Agincourt Recreation Centre,0.75,0,27,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,5,36,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,0.75,1,27,"43.7880426,-79.27506549999998"
Ultra Swim 6,Agincourt Recreation Centre,1,0,90,"43.7880426,-79.27506549999998"
Ultra Swim 6,Agincourt Recreation Centre,0.9,6,81,"43.7880426,-79.27506549999998"
Ultra Swim 6,Agincourt Recreation Centre,1,1,90,"43.7880426,-79.27506549999998"
Ultra Swim 8,Agincourt Recreation Centre,0.6,0,54,"43.7880426,-79.27506549999998"
Ultra Swim 6,Agincourt Recreation Centre,0.8,0,72,"43.7880426,-79.27506549999998"
Ultra Swim 6,Agincourt Recreation Centre,1,0,90,"43.7880426,-79.27506549999998"
Ultra Swim 8,Agincourt Recreation Centre,0.6,0,54,"43.7880426,-79.27506549999998"
Ultra Swim 7,Agincourt Recreation Centre,0.8,0,72,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Preschool Swim 2: Stingray,Agincourt Recreation Centre,1,0,36,"43.7880426,-79.27506549999998"
Ultra Swim 7,Ourland Park - Outdoor Pool,1,1,9,"43.6155335,-79.50870069999996"
Bronze Star & Basic 1st Aid (CPR-A),Bendale Business Technical Institute,0.3333,0,36,"43.755163,-79.26520049999999"
Science Fun,Stephen Leacock Community Centre,1,7,144,"43.7870239,-79.30183669999997"
Bronze Star & Basic 1st Aid (CPR-A),Centennial Recreation Centre-Scarborough,1,18,108,"43.7733929,-79.23595169999999"
Bronze Star & Basic 1st Aid (CPR-A),Centennial Recreation Centre-Scarborough,0.9167,11,99,"43.7733929,-79.23595169999999"
Bronze Medallion & Emergency First Aid (CPR B),Centennial Recreation Centre-Scarborough,0.9,28,81,"43.7733929,-79.23595169999999"
Bronze Medallion & Emergency First Aid (CPR B),Centennial Recreation Centre-Scarborough,1,14,90,"43.7733929,-79.23595169999999"
Bronze Cross,Centennial Recreation Centre-Scarborough,0.9,10,81,"43.7733929,-79.23595169999999"
Bronze Cross,Centennial Recreation Centre-Scarborough,1,19,90,"43.7733929,-79.23595169999999"
Preschool Swim 2: Stingray,Birchmount Community Centre,1,1,48,"43.69528589999999,-79.26132469999999"
Ultra Swim 2,Birchmount Community Centre,0.8333,3,40,"43.69528589999999,-79.26132469999999"
Ultra Swim 3,Birchmount Community Centre,0.8333,8,45,"43.69528589999999,-79.26132469999999"
Ultra Swim 4,Birchmount Community Centre,1,0,64,"43.69528589999999,-79.26132469999999"
Ultra Swim 1,Birchmount Community Centre,1,0,64,"43.69528589999999,-79.26132469999999"
Ultra Swim 2,Birchmount Community Centre,1,7,72,"43.69528589999999,-79.26132469999999"
Ultra Swim 4,Birchmount Community Centre,0.75,1,54,"43.69528589999999,-79.26132469999999"
Ultra Swim 3,Birchmount Community Centre,0.8333,2,40,"43.69528589999999,-79.26132469999999"
Guardian Swim 2,Birchmount Community Centre,0.9,4,72,"43.69528589999999,-79.26132469999999"
Preschool Swim 1: Penguin,Birchmount Community Centre,1,1,48,"43.69528589999999,-79.26132469999999"
Ultra Swim 8,Birchmount Community Centre,1,0,45,"43.69528589999999,-79.26132469999999"
Bronze Star & Basic 1st Aid (CPR-A),Birchmount Community Centre,0.3333,0,36,"43.69528589999999,-79.26132469999999"
Guardian Swim 1,Birchmount Community Centre,0.4,0,36,"43.69528589999999,-79.26132469999999"
Preschool Swim 1: Penguin,Birchmount Community Centre,0.6667,0,36,"43.69528589999999,-79.26132469999999"
Ultra Swim 2,Birchmount Community Centre,1,4,80,"43.69528589999999,-79.26132469999999"
Ultra Swim 9,Birchmount Community Centre,1,0,45,"43.69528589999999,-79.26132469999999"
Ultra Swim 3,Birchmount Community Centre,1,3,72,"43.69528589999999,-79.26132469999999"
Ultra Swim 5,Birchmount Community Centre,0.75,0,54,"43.69528589999999,-79.26132469999999"
Bronze Star & Basic 1st Aid (CPR-A),Birchmount Community Centre,0.5,0,54,"43.69528589999999,-79.26132469999999"
Stroke Improvement,Centennial Recreation Centre-Scarborough,1,18,72,"43.7733929,-79.23595169999999"
Stroke Improvement,Centennial Recreation Centre-Scarborough,0.75,15,54,"43.7733929,-79.23595169999999"
Tiny Tots Swim,Ourland Park - Outdoor Pool,1,0,9,"43.6155335,-79.50870069999996"
Ultra Swim 4,Birchmount Community Centre,0.75,1,54,"43.69528589999999,-79.26132469999999"
Ultra Swim 1,Birchmount Community Centre,0.375,0,27,"43.69528589999999,-79.26132469999999"
Ultra Swim 3,Birchmount Community Centre,0.875,1,63,"43.69528589999999,-79.26132469999999"
Ultra Swim 2,Birchmount Community Centre,1,0,72,"43.69528589999999,-79.26132469999999"
Ultra Swim 4,Birchmount Community Centre,1,0,72,"43.69528589999999,-79.26132469999999"
Ultra Swim 3,Birchmount Community Centre,0.875,1,63,"43.69528589999999,-79.26132469999999"
Ultra Swim 5,Birchmount Community Centre,0.875,1,63,"43.69528589999999,-79.26132469999999"
Preschool Swim 1: Penguin,Birchmount Community Centre,1,0,54,"43.69528589999999,-79.26132469999999"
Ultra Swim 1,Birchmount Community Centre,1,0,72,"43.69528589999999,-79.26132469999999"
Tiny Tots Swim,Birchmount Community Centre,1,1,9,"43.69528589999999,-79.26132469999999"
Guardian Swim 1,Birchmount Community Centre,0.6,0,54,"43.69528589999999,-79.26132469999999"
Ultra Swim 5,Birchmount Community Centre,0.375,0,27,"43.69528589999999,-79.26132469999999"
Preschool Swim 2: Stingray,Birchmount Community Centre,0.5,0,27,"43.69528589999999,-79.26132469999999"
Tiny Tots Swim,East York Community Centre,1,1,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Tiny Tots Swim,East York Community Centre,1,0,9,"43.6909001,-79.34910789999998"
Adventure Camp,Falstaff Community Centre,1,18,50,"43.7161744,-79.5065922"
Preschool Swim 2: Stingray,Matty Eckler Recreation Centre,0.75,0,27,"43.6680898,-79.33898669999996"
Adventure Camp,Falstaff Community Centre,1,23,80,"43.7161744,-79.5065922"
Adventure Camp,Balmy Beach Community Recreation Centre,1,2,80,"43.6764859,-79.2896849"
Specialty Camp: Swim,Annette Community Recreation Centre,0.9375,4,150,"43.6551041,-79.45940150000001"
Adventure Camp,Norseman Community School And Pool,0.9583,0,115,"43.6345864,-79.51572870000001"
Adventure Camp,Falstaff Community Centre,1,17,40,"43.7161744,-79.5065922"
Adventure Camp,Falstaff Community Centre,1,24,80,"43.7161744,-79.5065922"
Adapted Adventure Camp,Mitchell Field Community Centre,1,0,50,"43.7746895,-79.40831689999999"
Adventure Camp: Arts,Burrows Hall Community Centre,1,7,160,"43.7923793,-79.23348450000003"
Adventure Camp,Norseman Community School And Pool,0.9286,6,65,"43.6345864,-79.51572870000001"
Adventure Camp,Falstaff Community Centre,1,26,80,"43.7161744,-79.5065922"
Adventure Camp,Falstaff Community Centre,0.9,20,45,"43.7161744,-79.5065922"
Adapted Adventure Camp,Mitchell Field Community Centre,0.8,1,40,"43.7746895,-79.40831689999999"
Adapted Adventure Camp,Oakdale Park MS,0.9,4,45,"43.747629,-79.51203909999998"
Adventure Camp: Arts,Burrows Hall Community Centre,0.95,0,380,"43.7923793,-79.23348450000003"
Adapted Adventure Camp,Mitchell Field Community Centre,0.9,0,45,"43.7746895,-79.40831689999999"
Adventure Camp: Arts,Burrows Hall Community Centre,0.95,0,342,"43.7923793,-79.23348450000003"
Ultra Swim 2,Sir Oliver Mowat Collegiate Institute,1,0,54,"43.7794929,-79.14180049999999"
Preschool Swim 1: Penguin,Hillcrest Community Centre,0.5,0,18,"43.6727097,-79.4056784"
Adventure Camp,Falstaff Community Centre,1,22,100,"43.7161744,-79.5065922"
Adventure Camp: Arts,Burrows Hall Community Centre,0.925,1,370,"43.7923793,-79.23348450000003"
Adventure Camp,Falstaff Community Centre,1,24,50,"43.7161744,-79.5065922"
Specialty Camp: Swim,Annette Community Recreation Centre,0.9375,7,150,"43.6551041,-79.45940150000001"
Adventure Camp,Falstaff Community Centre,1,17,64,"43.7161744,-79.5065922"
Activity Camp,White Haven ES,1,2,150,"43.7872798,-79.24828660000003"
Adventure Camp,Falstaff Community Centre,1,25,50,"43.7161744,-79.5065922"
Adventure Camp,Falstaff Community Centre,1,22,50,"43.7161744,-79.5065922"
Adapted Adventure Camp,Mitchell Field Community Centre,1,4,50,"43.7746895,-79.40831689999999"
Speciality Camp: Sports,Mitchell Field Community Centre,1,0,150,"43.7746895,-79.40831689999999"
Adventure Camp: Arts,Burrows Hall Community Centre,0.95,9,380,"43.7923793,-79.23348450000003"
Adventure Camp,Norseman Community School And Pool,0.8125,3,65,"43.6345864,-79.51572870000001"
Tennis,Eglinton Flats,1,0,96,"43.6838522,-79.49358860000001"
Specialty Camp: Sports,Annette Community Recreation Centre,1.1,6,55,"43.6551041,-79.45940150000001"
Specialty Camp: Kindergarten Preparation,Annette Community Recreation Centre,1,11,60,"43.6551041,-79.45940150000001"
Adventure Camp,Falstaff Community Centre,1,19,80,"43.7161744,-79.5065922"
Adapted Adventure Camp,Oakdale Park MS,0.9,3,45,"43.747629,-79.51203909999998"
Preschool Swim 4: Dolphin,Memorial Pool And Health Club,1,1,36,"43.6479023,-79.51853979999999"
Adventure Camp,Falstaff Community Centre,0.9667,7,145,"43.7161744,-79.5065922"
